roll_no,study_hours,attendance,previous_marks,assignment_scores,pass_fail
STU4931,2.4,58.1,46.5,40.6,0
STU3021,1.0,74.4,40.2,47.4,0
STU3611,2.7,60.4,46.7,67.7,0
STU2627,7.0,83.0,84.6,92.7,1
STU3426,3.2,66.1,40.1,66.0,0
STU4054,2.8,62.0,62.3,48.2,0
STU4008,4.3,56.1,42.2,46.3,0
STU1600,8.0,85.0,92.5,97.2,1
STU2748,8.1,89.1,83.6,87.1,1
STU3352,2.6,50.0,42.4,57.1,0
STU2430,7.2,94.6,67.8,74.1,1
STU2115,7.7,90.3,80.9,92.4,1
STU1643,7.2,82.9,80.2,79.0,1
STU1403,7.5,84.7,75.0,82.4,1
STU1491,7.5,87.9,85.2,85.8,1
STU3500,4.4,63.1,35.7,55.4,0
STU2004,6.7,99.3,79.4,83.4,1
STU3115,2.2,59.8,42.4,40.0,0
STU4485,1.6,57.3,39.7,53.4,0
STU2879,5.5,78.8,75.5,80.9,1
STU3474,2.5,54.4,46.2,48.7,0
STU1271,9.2,90.1,80.9,82.5,1
STU3342,3.2,50.0,42.4,59.5,0
STU4059,1.6,57.4,43.8,65.3,0
STU4199,1.0,65.9,51.3,63.5,0
STU2045,7.3,92.3,88.6,90.6,1
STU4498,4.0,56.7,55.3,52.9,0
STU3794,2.9,65.5,42.3,40.0,0
STU3393,4.9,70.7,55.7,45.6,0
STU4471,3.7,72.3,51.0,54.4,0
STU4838,4.5,64.7,44.4,65.4,0
STU3359,2.6,59.1,40.6,44.8,0
STU3335,4.3,63.6,35.0,42.5,0
STU1018,7.9,76.0,87.6,86.4,1
STU4655,3.7,50.0,48.8,49.1,0
STU2211,6.0,95.1,82.9,100.0,1
STU3118,3.6,65.5,48.9,62.8,0
STU1230,8.3,94.0,82.1,80.6,1
STU2118,7.4,83.5,77.3,82.4,1
STU2293,7.5,95.7,70.0,80.6,1
STU1496,8.1,92.9,95.4,87.7,1
STU4545,4.7,63.5,48.1,43.7,0
STU1462,7.5,92.5,96.8,76.1,1
STU3904,3.4,66.4,49.1,48.0,0
STU2564,8.6,95.2,88.0,91.1,1
STU3554,3.2,50.3,49.8,56.9,0
STU1319,7.9,84.7,83.2,91.7,1
STU3454,2.5,71.5,40.8,56.4,0
STU4266,3.9,72.9,54.0,64.7,0
STU3453,2.2,69.3,49.4,49.2,0
STU2492,10.0,86.7,90.2,79.6,1
STU4573,2.7,58.6,45.6,52.7,0
STU2290,4.9,86.3,89.3,84.9,1
STU4323,3.3,63.1,56.0,71.2,0
STU4519,3.0,68.8,66.5,55.6,0
STU4394,3.2,50.0,36.8,47.2,0
STU3234,2.6,53.2,44.4,52.4,0
STU1658,7.5,93.3,74.5,95.8,1
STU2057,7.5,84.7,87.7,83.1,1
STU3120,3.2,53.0,38.4,43.0,0
STU4195,2.1,59.2,37.0,49.1,0
STU4895,3.0,58.9,48.7,43.8,0
STU2663,5.0,90.2,82.1,80.3,1
STU2331,9.3,93.5,77.7,100.0,1
STU2179,6.3,93.9,81.0,82.1,1
STU4721,2.8,60.3,54.7,56.9,0
STU3158,2.1,57.0,50.7,55.9,0
STU1299,8.5,91.9,74.1,82.6,1
STU1094,7.1,81.2,83.8,78.9,1
STU3405,4.7,58.6,35.0,44.6,0
STU4549,2.5,73.6,61.8,42.9,0
STU2576,7.5,89.7,66.3,75.2,1
STU4746,3.9,66.9,40.2,57.5,0
STU3887,3.6,55.3,48.0,48.8,0
STU2794,8.3,86.6,83.1,81.8,1
STU1024,5.8,80.1,88.3,83.1,1
STU4351,3.6,51.3,37.2,46.9,0
STU4624,4.2,54.2,50.9,50.2,0
STU2732,7.1,83.0,82.3,86.7,1
STU2085,8.0,86.9,89.7,82.8,1
STU4992,3.4,50.4,35.6,55.1,0
STU3666,4.1,61.9,39.9,56.4,0
STU3379,4.1,60.6,48.6,52.1,0
STU2273,6.2,93.3,72.4,91.3,1
STU1306,7.6,100.0,69.2,91.8,1
STU3903,2.1,50.0,56.8,46.0,0
STU3762,1.8,65.5,55.9,53.5,0
STU1599,7.0,95.2,85.4,72.6,1
STU4880,5.1,57.0,40.9,57.2,0
STU1872,6.5,90.8,92.9,89.7,1
STU3546,5.3,65.6,38.9,40.0,0
STU3122,1.9,58.1,44.4,47.7,0
STU2361,7.5,81.1,81.6,79.7,1
STU2937,7.8,95.5,91.8,69.5,1
STU3759,3.4,65.3,49.7,43.8,0
STU4645,3.0,66.1,55.3,53.7,0
STU2540,4.1,87.0,89.6,82.8,1
STU3211,3.9,59.5,35.0,48.8,0
STU2053,8.1,86.3,84.7,92.4,1
STU2567,7.6,89.4,90.7,82.5,1
STU4247,3.6,63.7,66.0,52.9,0
STU2927,4.5,93.8,87.4,78.7,1
STU3024,2.2,62.5,54.3,58.2,0
STU1409,7.6,92.9,86.3,81.9,1
STU1100,7.2,92.9,82.6,80.0,1
STU2212,6.7,80.9,73.4,82.4,1
STU2433,8.5,91.1,82.9,88.2,1
STU1316,7.5,90.5,90.0,90.0,1
STU2174,7.4,92.7,74.0,89.2,1
STU2236,9.5,89.1,98.5,94.0,1
STU4160,4.5,76.4,54.2,53.1,0
STU3733,3.5,57.9,35.0,49.7,0
STU4973,4.1,54.3,46.2,52.3,0
STU4641,1.3,64.9,42.7,51.6,0
STU1752,5.9,97.4,79.9,79.6,1
STU4116,4.2,65.9,40.2,45.0,0
STU1157,9.7,85.7,86.2,83.9,1
STU3562,4.0,66.9,43.1,40.0,0
STU1121,8.4,100.0,77.1,84.2,1
STU2455,8.2,70.4,89.8,77.6,1
STU1512,7.4,91.3,90.5,91.2,1
STU2518,8.3,90.5,87.0,83.3,1
STU4505,5.2,76.9,50.7,41.5,0
STU3017,2.4,53.4,49.9,57.4,0
STU4441,1.3,61.8,55.2,51.8,0
STU3847,2.8,72.2,59.5,55.4,0
STU2603,6.7,100.0,80.3,88.4,1
STU4779,4.1,59.2,39.9,42.2,0
STU4804,2.1,58.5,41.3,43.9,0
STU1677,6.2,90.1,87.5,85.2,1
STU1241,6.5,88.6,67.3,83.5,1
STU2024,10.0,94.9,69.2,85.2,1
STU3217,4.8,69.2,42.0,50.3,0
STU2512,7.3,82.7,87.8,100.0,1
STU3814,4.0,63.7,50.8,42.8,0
STU4226,3.4,50.0,72.4,49.4,0
STU4800,1.9,50.1,35.0,61.8,0
STU4764,3.6,62.7,43.0,47.2,0
STU3883,4.3,58.1,36.8,57.1,0
STU1487,6.7,85.7,85.4,83.4,1
STU4362,4.8,57.3,35.0,50.6,0
STU2874,8.4,79.1,74.7,78.7,1
STU3462,1.0,54.1,62.5,54.0,0
STU3438,3.4,59.2,43.3,44.3,0
STU1355,7.5,95.3,85.2,70.5,1
STU2018,6.9,71.0,98.3,79.0,1
STU4664,3.4,57.0,35.0,50.9,0
STU2742,7.3,91.1,74.1,84.0,1
STU3331,3.0,55.8,37.9,52.6,0
STU3404,3.0,62.1,50.5,55.9,0
STU2221,6.1,81.7,96.3,92.7,1
STU1052,7.0,82.8,83.5,92.1,1
STU3723,3.5,62.2,37.3,53.6,0
STU2721,8.1,94.0,78.5,83.8,1
STU1074,9.4,89.2,80.8,88.2,1
STU2689,7.8,95.7,71.9,83.4,1
STU3586,3.8,51.9,45.5,52.5,0
STU1439,5.5,85.4,79.3,88.5,1
STU2475,6.6,83.7,80.6,84.3,1
STU3761,4.3,69.5,54.3,44.4,0
STU1803,7.6,90.1,70.8,68.5,1
STU1466,7.2,93.3,72.7,90.7,1
STU4085,4.7,72.6,44.0,40.0,0
STU2065,7.1,78.9,87.9,86.7,1
STU4911,3.4,64.0,38.1,42.3,0
STU1158,8.1,86.1,78.2,78.6,1
STU3004,4.0,62.9,44.7,56.5,0
STU2654,7.1,83.0,91.0,88.4,1
STU1053,6.7,84.1,85.7,82.5,1
STU2345,8.6,82.2,79.4,81.8,1
STU1221,10.0,85.8,62.9,93.4,1
STU1565,8.9,82.6,88.3,84.8,1
STU1027,6.1,98.8,75.8,92.5,1
STU2584,7.6,80.7,85.1,94.6,1
STU3015,2.8,68.6,45.2,47.3,0
STU1215,7.1,85.2,82.4,78.7,1
STU3058,2.9,50.0,57.8,44.2,0
STU1938,8.4,86.6,91.8,81.8,1
STU1552,7.3,76.7,88.7,93.1,1
STU4027,2.7,63.7,51.4,50.8,0
STU3587,5.3,68.6,56.4,59.4,0
STU1326,6.0,92.0,90.3,75.1,1
STU4271,4.8,77.0,41.2,48.5,0
STU4976,2.6,51.0,42.4,50.5,0
STU2671,7.2,94.2,100.0,90.2,1
STU1830,7.2,85.8,73.6,81.9,1
STU4117,5.0,65.5,59.0,47.2,0
STU1753,6.3,85.2,80.1,83.1,1
STU4703,3.8,50.0,37.6,42.4,0
STU4238,1.4,62.3,52.4,51.3,0
STU3477,3.4,54.0,43.2,56.2,0
STU1045,5.7,83.1,89.5,85.8,1
STU4988,1.2,69.1,53.9,40.2,0
STU2554,6.5,100.0,87.1,76.9,1
STU1502,9.8,93.8,71.2,76.5,1
STU3399,3.9,59.8,35.0,52.1,0
STU1977,7.0,95.6,93.0,87.2,1
STU3528,3.4,54.4,55.7,54.4,0
STU2193,6.8,100.0,86.4,84.4,1
STU1811,7.3,87.3,88.1,88.1,1
STU2000,8.2,87.1,75.2,87.8,1
STU1569,5.3,93.2,93.6,86.5,1
STU3793,3.3,62.4,58.5,50.2,0
STU4809,1.0,70.6,57.7,57.1,0
STU3032,4.9,69.6,35.6,54.0,0
STU1367,7.8,84.8,77.8,83.3,1
STU1458,6.3,89.4,71.3,92.0,1
STU1257,9.0,93.3,75.3,94.7,1
STU3187,3.8,51.8,48.3,53.5,0
STU3271,1.6,59.1,35.0,48.5,0
STU2477,7.4,93.9,80.5,69.3,1
STU1577,7.8,96.8,72.6,80.7,1
STU3340,3.0,53.0,48.8,59.6,0
STU3141,2.5,60.6,35.8,48.8,0
STU3283,4.1,70.3,50.2,51.3,0
STU4737,3.7,59.3,50.6,53.5,0
STU2765,7.2,89.4,82.9,95.3,1
STU3305,4.1,63.9,38.3,47.3,0
STU3894,2.0,66.2,38.8,40.0,0
STU1292,6.9,93.9,78.6,95.3,1
STU1730,6.6,85.1,82.2,97.5,1
STU2614,7.4,90.4,82.7,82.3,1
STU1135,6.4,85.9,81.1,79.4,1
STU2511,6.1,95.3,83.1,97.2,1
STU4222,3.0,59.8,56.5,60.3,0
STU1681,8.4,92.1,80.1,82.8,1
STU4474,2.6,60.7,53.0,60.6,0
STU1264,6.3,81.6,79.7,87.2,1
STU3429,1.2,70.9,43.1,43.9,0
STU4350,2.8,64.0,40.4,40.0,0
STU3242,3.2,56.8,45.8,48.6,0
STU1765,8.9,89.5,74.0,70.1,1
STU1057,6.5,85.1,93.7,85.5,1
STU3785,1.9,74.6,42.0,54.4,0
STU1683,6.9,86.0,93.8,90.0,1
STU2294,8.5,90.0,74.7,78.2,1
STU3186,1.7,85.3,60.4,53.8,0
STU2310,8.1,88.0,74.2,78.2,1
STU4401,4.0,60.7,36.6,51.0,0
STU1545,4.5,100.0,85.0,85.6,1
STU2861,7.3,85.3,91.9,99.4,1
STU3709,4.8,60.5,71.3,57.0,0
STU4932,2.3,79.4,35.0,49.7,0
STU2729,7.9,80.8,83.1,87.6,1
STU3346,3.6,56.6,51.8,48.0,0
STU1839,8.7,100.0,92.8,81.0,1
STU1171,6.4,93.9,69.7,78.8,1
STU3025,1.0,68.1,52.7,40.0,0
STU4847,3.5,70.3,44.8,45.0,0
STU4585,4.5,66.4,50.8,40.0,0
STU2551,7.4,84.8,74.2,87.4,1
STU2589,6.5,95.4,91.5,87.8,1
STU3764,3.8,74.8,45.6,46.1,0
STU1189,6.5,85.4,78.7,84.8,1
STU1013,7.8,83.4,74.1,86.4,1
STU4839,2.1,77.0,43.8,55.9,0
STU1323,6.5,90.7,91.8,82.3,1
STU1986,6.1,82.2,95.1,81.1,1
STU4630,5.4,76.5,35.0,53.5,0
STU1433,7.2,87.9,83.8,74.6,1
STU2092,7.5,92.6,76.4,96.7,1
STU3895,2.0,59.3,42.2,44.0,0
STU3837,2.6,56.5,36.9,52.1,0
STU3892,3.8,65.8,41.6,40.0,0
STU3239,5.0,50.0,53.0,58.0,0
STU4124,3.2,64.5,44.8,55.0,0
STU4685,2.3,71.5,50.6,59.0,0
STU2806,5.6,91.1,83.1,81.1,1
STU2316,5.9,90.5,79.9,95.8,1
STU3958,2.8,63.8,51.3,46.0,0
STU2097,7.6,94.3,89.1,100.0,1
STU2946,7.1,93.5,88.7,78.4,1
STU2033,8.0,90.7,87.8,88.5,1
STU2019,7.1,85.3,83.2,94.0,1
STU1239,6.7,85.6,93.6,79.7,1
STU1175,7.8,83.0,80.6,87.4,1
STU3241,3.4,75.5,36.3,46.3,0
STU3568,3.8,67.3,42.2,53.5,0
STU1819,7.6,90.4,87.0,85.0,1
STU1991,7.8,97.1,65.2,89.1,1
STU2917,6.6,87.5,88.4,83.1,1
STU2114,8.1,80.7,70.8,78.4,1
STU2379,6.8,91.0,86.9,89.0,1
STU2427,10.0,89.5,89.7,82.7,1
STU1411,8.4,92.9,76.7,88.1,1
STU2139,8.2,90.8,76.5,81.3,1
STU1818,8.6,90.2,75.0,74.6,1
STU3963,3.5,56.0,37.5,52.3,0
STU2733,7.5,75.9,90.2,82.2,1
STU3349,3.8,68.2,39.7,58.5,0
STU2451,7.9,85.1,78.5,81.8,1
STU1228,6.2,84.4,85.4,87.8,1
STU3701,5.0,57.5,43.5,47.1,0
STU2581,7.7,100.0,97.2,93.3,1
STU2162,10.0,90.7,65.4,84.6,1
STU1352,9.3,91.7,82.4,77.7,1
STU2394,7.7,87.5,83.2,82.6,1
STU2264,6.4,95.0,85.3,94.5,1
STU2238,6.8,80.5,91.6,86.9,1
STU2201,7.7,89.1,79.4,86.0,1
STU3179,4.0,74.1,35.0,40.0,0
STU3467,3.9,55.4,42.7,64.2,0
STU3011,2.9,69.4,40.1,45.8,0
STU2378,8.7,82.2,64.0,89.3,1
STU1070,6.7,93.6,90.4,81.5,1
STU4598,3.2,82.2,50.9,40.0,0
STU1046,6.6,94.7,78.7,82.1,1
STU2069,6.9,89.4,81.8,96.2,1
STU4494,3.6,72.4,44.4,40.0,0
STU1184,8.1,96.2,77.3,98.7,1
STU3251,2.7,57.5,52.4,68.7,0
STU2414,10.0,83.0,89.0,87.8,1
STU2587,7.7,83.8,76.8,77.7,1
STU2271,8.8,86.7,92.3,73.0,1
STU2415,6.7,84.7,76.3,100.0,1
STU1140,6.0,79.2,82.0,91.7,1
STU4354,3.4,73.0,52.5,48.2,0
STU4212,2.2,61.3,45.3,46.2,0
STU1310,7.3,93.3,78.3,85.2,1
STU1267,9.5,77.3,84.3,85.5,1
STU4151,3.9,61.4,51.3,54.7,0
STU3169,2.4,53.8,44.4,46.4,0
STU4208,1.2,57.3,45.2,53.6,0
STU1064,6.1,87.4,84.5,100.0,1
STU3572,3.7,57.8,47.1,40.0,0
STU2992,8.4,85.2,84.5,84.8,1
STU2579,6.6,83.1,71.2,81.1,1
STU3683,1.3,60.6,50.5,57.5,0
STU1145,7.8,86.7,69.8,89.1,1
STU4457,4.1,77.3,38.1,49.6,0
STU4402,2.8,56.3,37.2,56.0,0
STU4993,3.9,58.8,49.8,53.7,0
STU2406,6.6,72.8,82.1,96.7,1
STU4667,3.1,68.7,59.1,55.6,0
STU3580,3.7,59.9,35.9,40.7,0
STU1777,6.6,86.5,81.8,91.1,1
STU3172,4.6,69.3,48.0,61.7,0
STU4025,3.3,63.0,46.1,54.0,0
STU2965,8.2,84.4,92.9,81.1,1
STU1970,5.8,89.6,93.6,90.8,1
STU3282,4.7,61.5,41.2,61.4,0
STU1252,8.6,97.1,83.7,82.5,1
STU4615,2.7,59.1,64.9,43.8,0
STU1865,6.8,90.5,81.4,84.9,1
STU1810,6.4,84.7,78.6,75.9,1
STU2599,7.5,90.0,82.9,92.0,1
STU3593,5.3,61.4,38.4,59.8,0
STU4493,2.7,63.8,43.2,48.7,0
STU2299,7.8,81.1,87.6,80.0,1
STU4871,3.3,75.4,37.6,40.3,0
STU1280,7.0,90.8,84.9,85.4,1
STU2462,6.0,99.4,87.3,84.8,1
STU2423,7.1,90.6,89.4,77.1,1
STU4284,4.0,59.2,37.4,55.7,0
STU2573,7.9,89.9,79.2,80.5,1
STU1359,7.9,77.3,86.7,71.1,1
STU4928,2.9,64.4,35.0,50.7,0
STU1300,8.3,79.0,75.7,80.9,1
STU2076,6.9,98.9,82.8,93.8,1
STU2030,6.3,88.2,82.1,87.3,1
STU1535,6.7,85.5,87.9,80.2,1
STU4318,2.1,65.2,48.2,48.0,0
STU4253,2.7,55.1,37.7,53.8,0
STU2771,7.6,94.0,97.1,91.2,1
STU3919,1.3,53.8,38.3,49.5,0
STU1416,6.6,89.6,86.9,80.2,1
STU1840,7.2,87.0,76.8,83.2,1
STU3628,4.3,56.3,42.3,59.1,0
STU4805,4.1,62.6,51.0,41.8,0
STU2043,8.8,84.5,80.6,88.2,1
STU2498,9.0,87.7,76.8,99.9,1
STU2399,8.9,100.0,66.9,87.7,1
STU1309,8.2,91.2,80.4,84.5,1
STU2533,7.9,87.4,92.5,85.6,1
STU3488,2.1,69.7,55.8,62.2,0
STU4285,3.4,56.8,41.8,40.0,0
STU3619,4.0,72.3,48.2,60.4,0
STU2074,6.0,97.8,69.6,93.3,1
STU4300,2.0,58.4,35.0,51.4,0
STU4053,3.1,65.1,46.9,42.3,0
STU4518,4.5,68.3,41.0,55.5,0
STU1762,7.6,83.2,87.4,83.6,1
STU3772,4.9,74.6,50.2,56.9,0
STU2111,7.3,81.0,78.2,78.1,1
STU2877,6.8,93.7,69.1,80.9,1
STU3054,2.7,53.2,39.7,42.5,0
STU1059,7.9,89.6,89.7,100.0,1
STU1077,7.6,91.7,79.1,76.1,1
STU1369,7.6,81.3,76.6,79.3,1
STU3430,2.6,52.0,42.8,58.4,0
STU4201,5.0,69.3,46.3,57.7,0
STU1734,5.5,82.7,85.8,80.2,1
STU4830,2.5,63.0,35.0,47.5,0
STU3320,2.7,78.5,43.0,61.1,0
STU3385,3.3,59.3,41.8,61.6,0
STU3731,2.7,50.0,35.0,40.0,0
STU2840,7.3,86.1,77.3,82.5,1
STU3665,2.8,67.4,42.1,56.6,0
STU1125,8.2,88.1,84.5,95.7,1
STU4473,1.2,52.7,35.0,58.7,0
STU4732,4.5,81.6,44.6,40.0,0
STU3257,4.4,67.5,51.5,56.7,0
STU3314,2.3,68.5,35.0,48.2,0
STU1430,5.4,86.0,78.1,81.7,1
STU2974,7.7,88.5,64.8,81.4,1
STU4954,2.1,50.0,59.6,59.4,0
STU1817,7.8,90.9,92.6,71.2,1
STU3717,3.9,62.4,44.1,48.3,0
STU4056,2.4,56.0,44.8,40.1,0
STU2692,6.9,93.0,68.0,80.8,1
STU1388,9.8,82.5,70.5,75.0,1
STU1031,6.8,92.8,88.9,73.6,1
STU2176,7.2,83.5,96.4,87.5,1
STU1204,8.8,80.2,74.2,98.1,1
STU2026,8.0,85.7,72.1,87.8,1
STU4858,2.8,70.2,41.7,66.6,0
STU4758,2.7,75.8,35.0,57.9,0
STU1894,8.9,89.3,81.0,88.1,1
STU3679,3.7,57.8,53.3,59.4,0
STU3667,2.1,68.8,46.1,50.8,0
STU1479,10.0,80.0,70.8,83.3,1
STU2685,6.1,91.6,77.5,92.0,1
STU2351,6.1,84.9,86.9,78.6,1
STU1444,7.4,92.1,87.4,91.3,1
STU3771,2.8,71.9,55.4,46.8,0
STU2339,7.0,91.0,79.2,85.1,1
STU1193,7.8,100.0,92.3,80.3,1
STU3970,4.8,65.8,46.9,55.2,0
STU2129,7.4,88.4,83.2,86.4,1
STU1007,9.4,88.0,60.4,82.8,1
STU1440,7.4,78.4,86.0,88.7,1
STU1290,6.8,96.5,86.8,82.8,1
STU2107,8.2,80.2,73.8,71.5,1
STU4694,2.9,58.2,40.6,54.4,0
STU4417,5.1,61.7,35.0,43.3,0
STU4941,2.6,69.9,49.9,46.6,0
STU2922,8.4,89.3,83.3,93.2,1
STU3478,1.5,71.2,41.8,41.5,0
STU3368,3.6,66.3,49.7,47.3,0
STU2736,5.6,87.3,79.8,73.3,1
STU3685,4.2,50.0,37.9,44.0,0
STU4883,1.9,59.3,51.1,44.3,0
STU1195,7.7,89.1,62.9,66.0,1
STU1451,7.4,82.5,78.0,83.1,1
STU2594,8.6,79.1,85.1,84.3,1
STU2106,6.3,90.2,83.6,82.3,1
STU1030,7.1,85.1,88.4,80.9,1
STU1786,8.8,85.9,79.6,82.1,1
STU4998,2.4,68.7,41.9,47.7,0
STU3623,2.9,65.7,39.3,48.6,0
STU3908,1.5,64.7,35.3,56.3,0
STU4388,5.1,68.1,58.4,56.4,0
STU4787,3.4,56.8,35.0,40.0,0
STU1882,6.9,75.3,93.0,84.7,1
STU4700,1.6,50.4,48.5,41.9,0
STU3370,3.5,76.1,50.4,41.0,0
STU3737,3.4,74.1,38.8,53.4,0
STU4595,3.3,62.1,45.3,51.4,0
STU1223,8.3,92.5,82.0,84.4,1
STU2996,8.8,88.2,83.4,100.0,1
STU2718,7.7,100.0,79.9,93.2,1
STU1574,7.2,87.7,77.3,81.7,1
STU4329,3.4,55.6,45.4,50.3,0
STU4378,4.5,69.8,41.1,59.2,0
STU2538,6.9,83.1,79.2,70.2,1
STU2259,6.7,95.1,69.0,80.9,1
STU3755,2.5,57.4,35.0,58.1,0
STU2346,5.7,97.8,95.4,77.9,1
STU1081,7.2,88.0,87.1,95.8,1
STU1258,6.7,85.5,93.4,75.6,1
STU1296,6.7,91.1,69.8,89.8,1
STU3093,3.1,50.0,44.9,40.0,0
STU2035,6.9,88.4,87.7,96.2,1
STU2546,8.1,89.9,68.6,88.3,1
